;pollutant_id;pollutant_averaging;date;pollutant_value;pollutant_unit;station_id;X;Y;ID_estacion;method_id
5554;NO2;1;07/01/2018 14:00;25;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5555;NO2;1;07/01/2018 15:00;41;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5556;NO2;1;07/01/2018 16:00;44;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5557;NO2;1;07/01/2018 17:00;123;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5558;NO2;1;07/01/2018 18:00;147;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5559;NO2;1;07/01/2018 19:00;104;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5560;NO2;1;07/01/2018 20:00;83;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5561;NO2;1;07/01/2018 21:00;28;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5562;NO2;1;07/01/2018 22:00;21;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5563;NO2;1;07/01/2018 23:00;19;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5564;NO2;1;08/01/2018 0:00;12;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5565;NO2;1;08/01/2018 1:00;13;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5566;NO2;1;08/01/2018 2:00;20;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5567;NO2;1;08/01/2018 3:00;26;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5568;NO2;1;08/01/2018 4:00;39;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5569;NO2;1;08/01/2018 5:00;49;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5570;NO2;1;08/01/2018 6:00;47;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5571;NO2;1;08/01/2018 7:00;43;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5572;NO2;1;08/01/2018 8:00;41;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5573;NO2;1;08/01/2018 9:00;52;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5574;NO2;1;08/01/2018 10:00;54;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5575;NO2;1;08/01/2018 11:00;58;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5576;NO2;1;08/01/2018 12:00;49;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5577;NO2;1;08/01/2018 13:00;35;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5578;NO2;1;08/01/2018 14:00;53;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5579;NO2;1;08/01/2018 15:00;33;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5580;NO2;1;08/01/2018 16:00;36;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5581;NO2;1;08/01/2018 17:00;38;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5582;NO2;1;08/01/2018 18:00;39;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5583;NO2;1;08/01/2018 19:00;50;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5584;NO2;1;08/01/2018 20:00;48;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5585;NO2;1;08/01/2018 21:00;29;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5586;NO2;1;08/01/2018 22:00;26;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5587;NO2;1;08/01/2018 23:00;27;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5588;NO2;1;09/01/2018 0:00;29;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5589;NO2;1;09/01/2018 1:00;18;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5590;NO2;1;09/01/2018 2:00;25;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5591;NO2;1;09/01/2018 3:00;16;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5592;NO2;1;09/01/2018 4:00;19;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5593;NO2;1;09/01/2018 5:00;28;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5594;NO2;1;09/01/2018 6:00;22;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5595;NO2;1;09/01/2018 7:00;18;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5596;NO2;1;09/01/2018 8:00;22;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5597;NO2;1;09/01/2018 9:00;23;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5598;NO2;1;09/01/2018 10:00;0;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5599;NO2;1;09/01/2018 11:00;0;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5600;NO2;1;09/01/2018 12:00;0;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5601;NO2;1;09/01/2018 13:00;0;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5602;NO2;1;09/01/2018 14:00;0;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5603;NO2;1;09/01/2018 15:00;0;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5604;NO2;1;09/01/2018 16:00;5;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5605;NO2;1;09/01/2018 17:00;5;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5606;NO2;1;09/01/2018 18:00;5;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5607;NO2;1;09/01/2018 19:00;5;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5608;NO2;1;09/01/2018 20:00;0;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5609;NO2;1;09/01/2018 21:00;0;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
